Nationality,Country,Count,longitude,latitude
American,United States of America,5181,44.29048647,-93.26801274
German,Germany,965,49.98247246,8.273219156
British,United Kingdom,860,55.93329002,-4.750030763
French,France,847,45.89997479,6.116670287
Italian,Italy,536,40.64200213,15.7989965
Japanese,Japan,507,34.67202964,133.9170865
Swiss,Switzerland,297,47.36999713,7.344999488
Dutch,The Netherlands,274,53.00000109,6.550002585
Russian,Russia,262,43.23300312,44.78300151
Austrian,Austria,239,47.51669707,9.766701588
Canadian,Canada,189,50.15002545,-96.88332178
Brazilian,Brazil,167,-5.809995505,-46.14998438
Spanish,Spain,157,38.91200402,-6.337997512
Argentine,Argentina,142,-51.65003986,-72.30001612
Mexican,Mexico,135,30.76405113,-116.0092603
Polish,Poland,131,53.80003522,20.48003129
Swedish,Sweden,128,60.61300204,15.64700455
Danish,Denmark,121,55.70900103,9.534996498
Chinese,China,101,39.83003522,97.72999304